node	value	type
AKT1	1.0	output
AKT3	1.0	output
AURKB	-1.0	output
CDK3	-1.0	output
CDKN1A	1.0	intermediate
CHEK1	-1.0	output
CSNK2A1	1.0	output
CSNK2A2	1.0	output
MAP2K1	1.0	output
MAPK1	1.0	intermediate
MAPKAPK2	1.0	output
PLK3	-1.0	output
PPP2CB	-1.0	output
PRKCA	1.0	intermediate
PRKCZ	-1.0	output
PRKD1	1.0	output
PRKG1	1.0	output
RAF1	-0.9999999999999999	output
ROCK1	-1.0	output
ROCK2	-1.0	output
RPS6KA1	1.0	output
RPS6KA3	1.0	output
RPS6KB1	1.0	output
SP3	1.0	intermediate
TGFB1	1.000000000000007	input
TGFBR2	-1.0	intermediate
TP53	-1.0	intermediate
UHMK1	-1.0	output
