source	sign	target	edge_value
AKT1	-1	RAF1	-0.9999999999999999
AKT3	1	RPS6KB1	1.0
CDK3	1	CHEK1	-1.0
CDKN1A	-1	CDK3	-1.0
CHEK1	1	AURKB	-1.0
CHEK1	1	TP53	-1.0
CSNK2A1	1	AKT1	1.0
MAPK1	1	CSNK2A1	1.0
MAPK1	1	MAPKAPK2	1.0
MAPK1	-1	ROCK1	-1.0
MAPK1	-1	ROCK2	-1.0
MAPK1	1	RPS6KA1	1.0
MAPK1	1	RPS6KA3	1.0
MAPK1	1	SP3	1.0
PPP2CB	-1	AKT3	1.0
PRKCA	1	MAPK1	1.0
PRKCA	1	PRKD1	1.0
PRKCA	1	PRKG1	1.0
ROCK1	1	PRKCZ	-1.0
SP3	1	CSNK2A2	1.0
SP3	1	MAP2K1	1.0
TGFB1	1	CDKN1A	1.0
TGFBR2	1	PPP2CB	-1.0
TGFBR2	1	UHMK1	-1.0
TP53	1	PLK3	-1.0
TP53	-1	PRKCA	1.0
TP53	1	TGFBR2	-1.0
