node	degree
MYC	12
RELA	8
CREB1	7
CTNNB1	7
JUN	6
STAT1	6
SMAD3	6
NFKB2	5
BCL6	4
BRCA1	4
E2F1	4
MAPK1	4
STAT3	4
RBPJ	4
ATM	3
EGFR	3
CEBPB	3
CSNK2A1	3
SP1	3
FOXO3	3
IRF1	3
SMAD4	3
NRF1	3
SREBF1	3
TGFB1	3
ATF6	2
NKX3-1	2
SNCA	2
JAK2	2
KLF5	2
IL11	2
PRKCA	2
MMP14	2
E2F4	2
EEF1D	2
EIF2S2	2
ETS2	2
FOXO1	2
PRNP	2
GATA2	2
GREM1	2
HDAC6	2
KLC1	2
PRKAA2	2
STAT5A	2
NOG	2
AKT3	1
NUCB1	1
PPM1G	1
PFDN4	1
RBBP7	1
MACROH2A1	1
CHEK1	1
SLC39A10	1
SET	1
CCN2	1
CDC42	1
DKK1	1
ECM1	1
RCN1	1
SERPINE2	1
NAP1L4	1
EEF1B2	1
ARF4	1
RPS15A	1
C1QTNF5	1
CTSV	1
PRDX3	1
NRP2	1
GDF5	1
TUBA4A	1
BLMH	1
ALOX12B	1
IGFBP7	1
MMP11	1
POSTN	1
TOR1A	1
ANP32B	1
TAGLN2	1
MMP2	1
CD63	1
CSTB	1
GOLM1	1
INHBA	1
LGALS1	1
PDIA5	1
SFRP2	1
SMARCA1	1
UROD	1
VDAC1	1
PTX3	1
RBBP4	1
DKK3	1
GDF6	1
PRDX5	1
CSPG4	1
ADAM19	1
LFNG	1
AMIGO2	1
BGN	1
DLST	1
HTRA1	1
SPARC	1
RPS6KA1	1
RPS6KB1	1
PHB2	1
LTBP4	1
PIN1	1
PSMB2	1
C1QBP	1
CPE	1
SERPINE1	1
ACAT1	1
HSPG2	1
PNP	1
ANP32A	1
IGFBP3	1
TGFBI	1
