source	sign	target	edge_value
AKT1	1	JUN	1.0
ATF3	1	MAPK1	-1.0
ATF3	1	PFDN4	-1.0
ATF3	1	RBBP7	-1.0
ATF6	1	NUCB1	1.0
ATM	-1	NKX3-1	1.0
ATM	1	PPM1G	-1.0
BRCA1	1	MACROH2A1	1.0
CCN2	1	ECM1	1.0
CDK3	1	CHEK1	-1.0
CDK3	-1	NOTCH1	1.0
CEBPB	-1	ATF6	1.0
CEBPB	1	KLF5	-1.0
CEBPB	1	SNCA	-1.0
CFB	1	HSPG2	-1.0
CHEK1	1	AURKB	-1.0
CREB1	1	IL11	1.0
CREB1	1	SLC39A10	1.0
CREB1	1	TGFB1	1.0
CSNK2A1	1	IGFBP3	1.0
CSNK2A2	-1	SET	-1.0
CTNNB1	-1	CDC42	-1.0
CTNNB1	1	HTRA1	1.0
CTNNB1	1	RCN1	1.0
CTNNB1	-1	ROCK1	-1.0
DKK1	1	CTNNB1	1.0
E2F4	1	NAP1L4	-1.0
ECM1	1	BRCA1	1.0
EEF1D	1	EEF1B2	-1.0
EGF	1	ARF4	-1.0
EGF	1	ATM	-1.0
EGF	1	NFKB1	-1.0
EGR1	1	CSPG4	1.0
EGR1	1	MMP14	1.0
EGR2	1	SERPINE2	1.0
ETS2	1	C1QTNF5	1.0
ETS2	1	EGR1	1.0
FOXO1	1	CTSV	1.0
FOXO1	1	DKK1	1.0
FOXO1	1	RELA	1.0
GREM1	-1	GDF5	-1.0
HDAC6	-1	TUBA4A	-1.0
IRF2	1	BLMH	1.0
JAK2	1	ALOX12B	1.0
JUN	1	ETS2	1.0
JUN	1	IGFBP7	1.0
JUN	1	MMP11	1.0
JUN	1	POSTN	1.0
JUN	1	SMARCA1	1.0
JUN	1	TGFBI	1.0
KLC1	1	TOR1A	1.0
KLF5	1	ANP32B	-1.0
MAPK1	-1	KLC1	1.0
MAPK1	1	RAF1	-1.0
MAPK1	1	SMAD4	-1.0
MAPK1	1	SREBF1	-1.0
MAPK1	1	TAGLN2	-1.0
MAPKAPK2	1	CREB1	1.0
MMP14	1	MMP2	1.0
MYC	1	CD63	1.0
MYC	1	CSTB	1.0
MYC	1	GOLM1	1.0
MYC	1	INHBA	1.0
MYC	1	IRF2	1.0
MYC	-1	LGALS1	-1.0
MYC	1	MAP2K1	1.0
MYC	1	PDIA5	1.0
MYC	1	SFRP2	1.0
MYC	1	UROD	1.0
MYC	1	VDAC1	1.0
MYC	-1	ZBTB4	-1.0
NFKB1	1	ATF3	-1.0
NFKB1	1	CFB	-1.0
NFKB1	1	NRF1	-1.0
NFKB1	1	PTX3	-1.0
NFKB1	1	RBBP4	-1.0
NKX3-1	1	DKK3	1.0
NOG	-1	GDF6	1.0
NOTCH1	1	ADAM19	1.0
NOTCH1	1	LFNG	1.0
NOTCH1	1	PIN1	1.0
NRF1	1	PRDX3	-1.0
NRF1	1	PRDX5	-1.0
OXSR1	1	EEF1D	-1.0
PIN1	1	RPS6KB1	1.0
PPP2CB	-1	MYC	1.0
PRDX3	1	OXSR1	-1.0
PRKCZ	1	SP1	-1.0
PRKD1	1	STAT3	1.0
PRKG2	1	FOXO1	1.0
RB1	-1	ANP32A	-1.0
RELA	1	AMIGO2	1.0
RELA	1	DLST	1.0
ROCK2	1	PRKCZ	-1.0
RPS6KA3	1	TP53	1.0
RPS6KB1	1	PHB2	1.0
SEMA3B	1	NRP2	1.0
SMAD3	-1	CEBPB	-1.0
SMAD3	1	EGR2	1.0
SMAD3	1	LTBP4	1.0
SMAD4	1	E2F4	-1.0
SMAD4	1	NOG	-1.0
SMAD4	-1	SERPINE1	1.0
SNCA	-1	PSMB2	1.0
SP1	1	ACAT1	-1.0
SP1	1	C1QBP	-1.0
SREBF1	1	CPE	-1.0
STAT3	1	JAK2	1.0
STAT3	1	PNP	1.0
TGFB1	1	AKT1	1.0
TGFB1	1	BGN	1.0
TGFB1	1	CCN2	1.0
TGFB1	-1	EGF	-1.0
TGFB1	1	HDAC6	1.0
TGFB1	1	RB1	1.0
TGFB1	1	SMAD3	1.0
TGFB1	1	SPARC	1.0
TP53	1	GREM1	1.0
TP53	1	PRNP	1.0
TP53	1	SEMA3B	1.0
ZBTB4	1	RPS15A	-1.0
