node	value	type
ACAT1	-1.0	output
ADAM19	1.0	output
AKT1	1.0	input
AKT3	1.0	input
ALOX12B	1.0	output
AMIGO2	1.0	output
ANP32A	-1.0	output
ANP32B	-1.0	output
ARF4	-1.0	output
ATF3	-1.0	intermediate
ATF6	1.0	intermediate
ATM	-1.0	intermediate
AURKB	-1.0	input
BGN	1.0	output
BLMH	1.0	output
BRCA1	1.0	intermediate
C1QBP	-1.0	output
C1QTNF5	1.0	output
CCN2	1.0	output
CD63	1.0	output
CDC42	-1.0	output
CDK3	-1.0	input
CDKN1A	1.0	intermediate
CEBPB	-1.0	intermediate
CFB	-1.0	intermediate
CHEK1	-1.0	input
CPE	-1.0	output
CREB1	1.0	intermediate
CSNK2A1	1.0	input
CSNK2A2	1.0	input
CSPG4	1.0	output
CSTB	1.0	output
CTNNB1	1.0	intermediate
CTSV	1.0	output
DKK1	1.0	output
DKK3	1.0	output
DLST	1.0	output
E2F4	-1.0	intermediate
ECM1	1.0	output
EEF1B2	-1.0	output
EEF1D	-1.0	output
EGF	-1.0	intermediate
EGR1	1.0	intermediate
EGR2	1.0	intermediate
ETS2	1.0	intermediate
FOXO1	1.0	intermediate
GDF5	-1.0	output
GDF6	1.0	output
GOLM1	1.0	output
GREM1	1.0	output
HDAC6	1.0	intermediate
HSPG2	-1.0	output
HTRA1	1.0	output
IGFBP3	1.0	output
IGFBP7	1.0	output
IL11	1.0	output
INHBA	1.0	output
IRF2	1.0	intermediate
JAK2	1.0	intermediate
JUN	1.0	intermediate
KLC1	1.0	intermediate
KLF5	-1.0	intermediate
LFNG	1.0	output
LGALS1	-1.0	output
LTBP4	1.0	output
MACROH2A1	1.0	output
MAP2K1	1.0	input
MAPK1	-1.0	intermediate
MAPKAPK2	1.0	input
MMP11	1.0	output
MMP14	1.0	output
MMP2	1.0	output
MYC	1.0	intermediate
NAP1L4	-1.0	output
NFKB1	-1.0	intermediate
NKX3-1	1.0	intermediate
NOG	-1.0	intermediate
NOTCH1	1.0	intermediate
NRF1	-1.0	intermediate
NRP2	1.0	output
NUCB1	1.0	output
OXSR1	-1.0	intermediate
PDIA5	1.0	output
PFDN4	-1.0	output
PHB2	1.0	output
PIN1	1.0	output
PLK3	-1.0	input
PNP	1.0	output
POSTN	1.0	output
PPM1G	-1.0	output
PPP2CB	-1.0	input
PRDX3	-1.0	output
PRDX5	-1.0	output
PRKCA	1.0	intermediate
PRKCZ	-1.0	input
PRKD1	1.0	input
PRKG1	1.0	input
PRKG2	1.0	input
PRNP	1.0	output
PSMB2	1.0	output
PTX3	-1.0	output
RAF1	-1.0	input
RB1	1.0	intermediate
RBBP4	-1.0	output
RBBP7	-1.0	output
RCN1	1.0	output
RELA	1.0	intermediate
ROCK1	-1.0	input
ROCK2	-1.0	input
RPS15A	-1.0	output
RPS6KA1	1.0	input
RPS6KA3	1.0	input
RPS6KB1	1.0	input
SEMA3B	1.0	intermediate
SERPINE1	1.0	output
SERPINE2	1.0	output
SET	-1.0	output
SFRP2	1.0	output
SLC39A10	1.0	output
SMAD3	1.0	intermediate
SMAD4	-1.0	intermediate
SMARCA1	1.0	output
SNCA	-1.0	intermediate
SP1	-1.0	intermediate
SP3	1.0	intermediate
SPARC	1.0	output
SREBF1	-1.0	intermediate
STAT3	1.0	intermediate
TAGLN2	-1.0	output
TGFB1	1.000000000000007	input
TGFBI	1.0	output
TGFBR2	-1.0	intermediate
TOR1A	1.0	output
TP53	1.0	intermediate
TUBA4A	-1.0	output
UHMK1	-1.0	input
UROD	1.0	output
VDAC1	1.0	output
ZBTB4	-1.0	intermediate
