source	mor	target
HIF1A	1	ITGB3
THRB	1	ITGB3
SFPQ	1	CTBP1
KLF4	1	TGFB1
SMAD2	1	POU5F1
TP53	-1	RLIM
SP1	1	RLIM
TP53	-1	KIF23
KCNIP3	1	KIF23
CREB1	1	CNTF
RELB	1	CNTF
REL	1	CNTF
NFKB2	1	CNTF
RELA	1	CNTF
NFKB1	1	CNTF
USF1	1	AGTRAP
USF2	1	AGTRAP
ATF2	1	MYLK
ZBTB7A	1	MBD3
NCOR1	1	MBD3
ID1	1	PTGS2
HNF1B	1	EGF
NCOR2	1	MBD3
TCF3	1	FGFR1
TFAP2A	1	HOXA7
TFAP2A	1	HOXA9
TFAP2A	1	MEIS1
SOX9	1	IGFBP4
SP1	1	NCOA3
NCOR1	1	BACE1
HHEX	1	CD81
SMARCA5	1	WNT5B
TBX2	1	WNT5B
MTA3	1	CDH1
SOX9	1	MYOCD
RELB	1	IRF3
REL	1	IRF3
NFKB2	1	IRF3
RELA	1	IRF3
NFKB1	1	IRF3
MYB	1	IGF1R
STAT3	1	WASF3
LEF1	1	FN1
TFAP2A	1	TLR2
AR	1	AHR
SATB1	1	CCNE1
TCF12	1	SETD7
NFE2L2	1	SHC1
POU5F1	1	CCN2
TP53	1	JUP
NFE2L2	1	THOC1
ATF2	1	PLD1
EZH2	1	KLF2
SNAI1	1	PPARG
AHR	1	JUP
NCOR2	1	CHEK2
NCOR2	1	PPM1D
ATF3	1	GADD45A
NFE2L2	1	OGG1
DLX4	1	NLGN1
RORA	1	ITPR1
RORA	1	NLGN1
AR	1	KDM4C
RELA	1	CBS
NFE2L2	1	PIK3R1
ELK3	-1	SERPINE1
MBD2	1	SMO
FOXO6	1	MYC
STAT5A	1	SOCS1
ESRRG	1	ATF6
TET1	1	HOXA7
TET1	1	HOXA9
NR4A3	1	KRT5
EGR2	1	EGFR
CXXC1	1	KLF2
TET1	1	OGT
CTBP2	-1	BRCA1
KLF4	1	CIITA
POU5F1	1	TERF1
EZH2	1	CCNE2
GLI1	1	CCND1
EGR2	1	CNN1
EGR2	1	TAGLN
JUN	1	DKK1
SNAI1	1	CD44
TFAP4	1	CD44
TFAP4	1	CDH1
TFAP4	1	FN1
NFAT5	1	WNT2
SFPQ	1	ACTB
NCOA3	1	SNAI1
NFAT5	1	CASP8AP2
ZBED1	1	AKT1
