source	score
SMAD5	12.7526882166277
KMT2A	9.37277078198052
SRF	8.9444071968422
SMAD4	8.55294127708778
BHLHE40	6.6538275522898
EPAS1	5.64887119372322
EGR1	5.41442434128952
STAT2	5.04034496900821
SMAD1	4.45159005032565
RARA	4.38823423857732
FOXL2	4.03305933481831
FOXO4	-3.95734228555743
FOSL2	3.93584666283195
ATF3	-3.84561212599744
ATF6	3.78550060545461
TEAD4	3.67604211392994
NR4A1	3.53335737646248
KLF9	3.50483542573002
PAX6	3.47165546220964
ETS2	-3.4649431056547
MNT	3.4450377915094
ZBTB7A	-3.44034465740237
TFAP2A	-3.43412457983933
TP53	-3.42603033011242
GLI1	-3.38427284253802
STAT4	-3.37209149776187
FOXK2	-3.36692548452396
NR2F2	-3.26241972367502
E2F1	3.13549508499233
THAP1	3.10109173156571
HIF1A	-3.08195616325697
HIC1	-3.05001095784449
FLI1	3.03731448711324
KLF4	-3.01657882112287
