source	score
ROCK2	-9.48749990087612
MAPKAPK2	8.19818401285953
RPS6KB1	5.12159555811487
AKT1	4.88777736993515
CSNK2A2	4.37510804601222
RPS6KA1	4.34059721497498
CSNK2A1	4.24406978488124
MAP2K1	4.19765535020702
PRKG1	3.99343071044884
PRKD1	3.723504304838
PLK3	-3.69939448143912
CHEK1	-3.57260711857973
PRKG2	3.55933170866563
PPP2CB	-3.52917605403813
AKT3	3.36876611315629
ROCK1	-3.32283465504831
AURKB	-3.24210379743255
UHMK1	-3.09824869780959
PRKCZ	-3.09589143804083
RAF1	-3.09387270950902
CDK3	-3.06511335490935
RPS6KA3	3.03402906002953
