source	score
SRF	8.97467556455604
E2F4	-7.9202022700616
TP53	7.71075147368126
STAT2	-5.83011048988043
SMAD4	5.82714034731958
SMAD5	5.28776320461804
FOXM1	-4.94233587173812
GLI1	-4.92991118928574
PAX6	4.64078635345319
ATF6	4.52606130295283
EPAS1	4.49927638117657
FOXA1	-4.32028388616329
KLF9	3.98127353552149
PAX8	-3.96062004570037
TEAD4	3.92153897057397
ETS1	3.60073641681517
ATF4	-3.57520100443674
RFX5	-3.51680501530276
MYC	-3.49769521817443
KMT2A	3.44007386712159
SREBF1	-3.21761477564632
NFKB1	3.11993169998421
ELF3	-3.09556826025292
E2F1	-3.05389501416479
REL	-3.01939940654103
