source	score
SRF	8.97467556455604
E2F4	-7.9202022700616
TP53	7.71075147368126
PTK2	6.63094839888745
ROCK2	-6.28649683065033
STAT2	-5.83011048988043
SMAD4	5.82714034731958
SMAD5	5.28776320461804
PTPRG	-4.99528469473708
FOXM1	-4.94233587173812
GLI1	-4.92991118928574
PAX6	4.64078635345319
PPP2CA	-4.56435358526033
ATF6	4.52606130295283
EPAS1	4.49927638117657
MAPK1	4.38986907462393
FOXA1	-4.32028388616329
CSNK2A2	4.29387434989801
PRKCZ	-4.05168840184034
KLF9	3.98127353552149
PAX8	-3.96062004570037
ABL1	3.95485029515835
ROCK1	-3.93282664262539
TEAD4	3.92153897057397
SRC	3.72996342329001
ETS1	3.60073641681517
MAP3K8	3.57767734034483
ATF4	-3.57520100443674
CSNK2A1	3.52633306501002
RFX5	-3.51680501530276
MET	3.50561693884318
MYC	-3.49769521817443
MAPKAPK2	3.44149793367713
KMT2A	3.44007386712159
RFX1	3.35367159523803
PDK1	-3.35153595932945
CDK6	-3.3370120646966
SREBF1	-3.21761477564632
MAP2K1	3.21088488745783
RAF1	-3.16486724679443
NFKB1	3.11993169998421
RPS6KA1	-3.10724753492054
ELF3	-3.09556826025292
HNF4G	-3.0932715002455
AKT1	-3.08119516431891
PRKACA	-3.07779110378634
E2F1	-3.05389501416479
REL	-3.01939940654103
