source	score
PTK2	6.63094839888745
ROCK2	-6.28649683065033
PTPRG	-4.99528469473708
PPP2CA	-4.56435358526033
MAPK1	4.38986907462393
CSNK2A2	4.29387434989801
PRKCZ	-4.05168840184034
ABL1	3.95485029515835
ROCK1	-3.93282664262539
SRC	3.72996342329001
MAP3K8	3.57767734034483
CSNK2A1	3.52633306501002
MET	3.50561693884318
MAPKAPK2	3.44149793367713
PDK1	-3.35153595932945
CDK6	-3.3370120646966
MAP2K1	3.21088488745783
RAF1	-3.16486724679443
RPS6KA1	-3.10724753492054
AKT1	-3.08119516431891
PRKACA	-3.07779110378634
