source	score
SMAD5	12.7526882166277
ROCK2	-9.48749990087612
KMT2A	9.37277078198052
SRF	8.9444071968422
SMAD4	8.55294127708778
MAPKAPK2	8.19818401285953
BHLHE40	6.6538275522898
EPAS1	5.64887119372322
EGR1	5.41442434128952
RPS6KB1	5.12159555811487
STAT2	5.04034496900821
AKT1	4.88777736993515
SMAD1	4.45159005032565
RARA	4.38823423857732
CSNK2A2	4.37510804601222
RPS6KA1	4.34059721497498
CSNK2A1	4.24406978488124
MAP2K1	4.19765535020702
FOXL2	4.03305933481831
PRKG1	3.99343071044884
FOXO4	-3.95734228555743
FOSL2	3.93584666283195
ATF3	-3.84561212599744
ATF6	3.78550060545461
PRKD1	3.723504304838
PLK3	-3.69939448143912
TEAD4	3.67604211392994
CHEK1	-3.57260711857973
PRKG2	3.55933170866563
NR4A1	3.53335737646248
PPP2CB	-3.52917605403813
KLF9	3.50483542573002
PAX6	3.47165546220964
ETS2	-3.4649431056547
MNT	3.4450377915094
ZBTB7A	-3.44034465740237
TFAP2A	-3.43412457983933
TP53	-3.42603033011242
GLI1	-3.38427284253802
STAT4	-3.37209149776187
AKT3	3.36876611315629
FOXK2	-3.36692548452396
ROCK1	-3.32283465504831
NR2F2	-3.26241972367502
AURKB	-3.24210379743255
E2F1	3.13549508499233
THAP1	3.10109173156571
UHMK1	-3.09824869780959
PRKCZ	-3.09589143804083
RAF1	-3.09387270950902
HIF1A	-3.08195616325697
CDK3	-3.06511335490935
HIC1	-3.05001095784449
FLI1	3.03731448711324
RPS6KA3	3.03402906002953
KLF4	-3.01657882112287
