node	degree
MYC	13
CTNNB1	6
JUN	5
NOTCH1	5
TGFB1	5
MAPK1	4
ATF3	3
CREB1	3
BRCA1	3
E2F4	3
SP1	3
EGFR	3
STAT5B	3
FOXO3	3
HIF1A	3
KLF5	3
RARA	3
SMAD3	3
STAT1	3
SRF	3
TP53	3
GATA2	2
PRKACA	2
ATF6	2
ATM	2
JAK2	2
CDK1	2
EEF1D	2
STAT3	2
CSNK2A1	2
E2F1	2
EGR1	2
EGR2	2
FOXL2	2
SNCA	2
GREM1	2
HDAC6	2
KDM5C	2
IRF2	2
MBD2	2
KLC1	2
NOG	2
MMP14	2
NKX3-1	2
ZBTB4	2
RELA	2
SREBF1	2
PITX1	2
AKT1	1
PFDN4	1
RBBP7	1
NUCB1	1
PPM1G	1
MACROH2A1	1
SLC39A10	1
IGFBP3	1
SET	1
CDC42	1
DKK1	1
ECM1	1
HTRA1	1
RCN1	1
CTSV	1
NAP1L4	1
EEF1B2	1
ARF4	1
CSPG4	1
SERPINE2	1
ETS2	1
FOSL2	1
IL11	1
INHBA	1
PRNP	1
GDF5	1
TUBA4A	1
NRP2	1
PRDX3	1
BLMH	1
ALOX12B	1
DLST	1
IGFBP7	1
MMP11	1
POSTN	1
TOR1A	1
ANP32B	1
RBBP4	1
TAGLN2	1
MMP2	1
CD63	1
CSTB	1
GOLM1	1
LGALS1	1
PDIA5	1
SERPINE1	1
SMARCA1	1
UROD	1
VDAC1	1
DKK3	1
GDF6	1
ADAM19	1
LFNG	1
PIN1	1
NR4A1	1
PAX6	1
SFRP2	1
PTX3	1
PRDX5	1
AMIGO2	1
RPS6KB1	1
PHB2	1
LTBP4	1
PSMB2	1
C1QBP	1
CPE	1
ACAT1	1
HSPG2	1
PNP	1
ANP32A	1
BGN	1
CCN2	1
SPARC	1
TGFBI	1
RPS15A	1
