	out_degree	in_degree	total_degree
TGFB1	17	1	18
MAPK1	13	2	15
MYC	11	2	13
SP1	8	2	10
TP53	7	1	8
CTNNB1	5	1	6
SMAD3	5	1	6
AKT1	4	1	5
ATF3	4	1	5
CDK1	4	1	5
CSNK2A2	4	1	5
JUN	4	1	5
PRKACA	4	1	5
SIRT1	4	1	5
RARA	3	2	5
NFKB2	3	1	4
AR	3	1	4
ETS2	3	1	4
RPS6KB1	2	2	4
NR4A1	1	2	3
PRKCZ	1	2	3
HIF1A	1	2	3
ROCK1	1	2	3
SRF	1	2	3
EGR1	1	2	3
E2F1	1	2	3
RELB	2	1	3
STAT3	2	1	3
TGFBR2	2	1	3
PPP2CB	2	1	3
PAX6	2	1	3
AKT3	2	1	3
CDK5	2	1	3
HOXA10	2	1	3
ATF6	2	1	3
NOTCH1	2	1	3
CDK3	2	1	3
ATM	2	1	3
JAK2	2	1	3
PTMA	1	1	2
RBBP7	1	1	2
PRKG1	1	1	2
PRNP	1	1	2
PRDX3	1	1	2
PPARG	1	1	2
OXSR1	1	1	2
NOG	1	1	2
RELA	1	1	2
SREBF1	1	1	2
ROCK2	1	1	2
SNCA	1	1	2
TRIM25	1	1	2
TRIM59	1	1	2
UBE2I	1	1	2
WWTR1	1	1	2
ZBTB4	1	1	2
RAF1	0	2	2
CSNK2A1	0	2	2
STAT2	0	2	2
GLI1	0	2	2
STAT4	0	2	2
MBD2	1	1	2
NKX3-1	1	1	2
ZBTB7A	1	1	2
MAPKAPK2	1	1	2
FOXO3	1	1	2
MAP2K1	1	1	2
AGER	1	1	2
AURKB	1	1	2
BHLHE40	1	1	2
CDKN1A	1	1	2
CHEK1	1	1	2
DKK3	1	1	2
DNMT1	1	1	2
E2F4	1	1	2
EEF1D	1	1	2
EGF	1	1	2
FLI1	1	1	2
FOS	1	1	2
CREB1	1	1	2
GDF5	1	1	2
IRF1	1	1	2
KMT2A	1	1	2
GNAQ	1	1	2
KLF9	1	1	2
KLF5	1	1	2
KLC1	1	1	2
KLF4	1	1	2
IL11	1	1	2
IGFBP3	1	1	2
HDAC6	1	1	2
GREM1	1	1	2
LTBP4	0	1	1
PIN1	0	1	1
SFRP2	0	1	1
PHB2	0	1	1
AMIGO2	0	1	1
ANP32A	0	1	1
PRDX5	0	1	1
SERPINE2	0	1	1
LGALS1	0	1	1
LFNG	0	1	1
ADAM19	0	1	1
GDF6	0	1	1
RBBP4	0	1	1
PTX3	0	1	1
VDAC1	0	1	1
UROD	0	1	1
PSMB2	0	1	1
SMARCA1	0	1	1
SERPINE1	0	1	1
TGFBI	0	1	1
ACAT1	0	1	1
C1QBP	0	1	1
TEAD4	0	1	1
FOXL2	0	1	1
MACROH2A1	0	1	1
PLK3	0	1	1
HIC1	0	1	1
UHMK1	0	1	1
MNT	0	1	1
SPARC	0	1	1
SMAD5	0	1	1
SMAD4	0	1	1
SMAD1	0	1	1
ECM1	0	1	1
CCN2	0	1	1
BGN	0	1	1
PNP	0	1	1
CPE	0	1	1
TFAP2A	0	1	1
PDIA5	0	1	1
IGFBP7	0	1	1
INHBA	0	1	1
CSPG4	0	1	1
EEF1B2	0	1	1
NAP1L4	0	1	1
CTSV	0	1	1
RCN1	0	1	1
MMP14	0	1	1
HTRA1	0	1	1
CDC42	0	1	1
SET	0	1	1
SLC39A10	0	1	1
FOXK2	0	1	1
PPM1G	0	1	1
NUCB1	0	1	1
PFDN4	0	1	1
MMP2	0	1	1
PRKD1	0	1	1
FOXO4	0	1	1
PRKG2	1	0	1
ARF4	0	1	1
NR2F2	0	1	1
GOLM1	0	1	1
FOSL2	0	1	1
CSTB	0	1	1
CD63	0	1	1
TAGLN2	0	1	1
RPS6KA3	0	1	1
RPS6KA1	0	1	1
EPAS1	0	1	1
DKK1	0	1	1
ANP32B	0	1	1
TOR1A	0	1	1
POSTN	0	1	1
MMP11	0	1	1
DLST	0	1	1
ALOX12B	0	1	1
BLMH	0	1	1
NRP2	0	1	1
TUBA4A	0	1	1
HSPG2	0	1	1
RPS15A	0	1	1
