node	value	type
AGER	1.0	intermediate
AKT1	1.0	output
AKT3	1.0	output
AR	1.0	intermediate
ATF3	-1.0	output
ATF6	1.0	output
AURKB	-1.0	output
BHLHE40	1.0	output
CDK1	-1.0	intermediate
CDK3	-1.0	output
CDKN1A	0.9999999999998863	intermediate
CHEK1	-1.0	output
CSNK2A1	1.0	output
CSNK2A2	1.0	output
E2F1	1.0	output
EGR1	1.0	output
EPAS1	1.0	output
ETS2	-1.0	output
FLI1	1.0	output
FOS	1.0	intermediate
FOSL2	1.0	output
FOXK2	-1.0	output
FOXL2	1.0	output
FOXO4	-0.9999999999999999	output
GLI1	-1.0	output
HIC1	-1.0	output
HIF1A	-1.0	output
HOXA10	-1.0000000000000002	intermediate
KLF4	-1.0	output
KLF9	1.0	output
KMT2A	1.0	output
MAP2K1	1.0	output
MAPK1	1.0	intermediate
MAPKAPK2	1.0	output
MNT	1.0	output
MYC	1.0	intermediate
NR2F2	-1.0	output
NR4A1	1.0	output
PAX6	1.0	output
PLK3	-1.0	output
PPP2CB	-1.0000000000000002	output
PRKCZ	-1.0	output
PRKD1	1.0	output
PRKG1	1.0	output
RAF1	-1.0	output
RARA	1.0	output
RELB	1.0	intermediate
ROCK1	-1.0	output
ROCK2	-1.0	output
RPS6KA1	1.0	output
RPS6KA3	1.0	output
RPS6KB1	1.0	output
SIRT1	-1.0	intermediate
SMAD1	1.0	output
SMAD4	1.0	output
SMAD5	1.0	output
SP1	-1.0	intermediate
SRF	1.0	output
STAT2	1.0	output
STAT4	-1.0	output
TEAD4	1.0	output
TFAP2A	-1.0	output
TGFB1	1.0	input
TGFBR2	-1.0	intermediate
TP53	-1.0	output
TRIM25	-1.0	intermediate
UBE2I	1.0	intermediate
UHMK1	-1.0	output
WWTR1	1.0	intermediate
ZBTB7A	-1.0	output
