node	vertex_value
ACAT1	-1.0
ADAM19	1.0
AKT1	1.0
AKT3	1.0
ALOX12B	1.0
AMIGO2	1.0
ANP32A	-1.0
ANP32B	-1.0
ARF4	-1.0
ATF3	-1.0
ATF6	1.0
ATM	-1.0
AURKB	-1.0
BGN	1.0
BHLHE40	1.0
BLMH	1.0
BRCA1	1.0
C1QBP	-1.0
CCN2	1.0
CD63	1.0
CDC42	-1.0
CDK1	-1.0
CDK3	-1.0
CHEK1	-1.0
CPE	-1.0
CREB1	1.0
CSNK2A1	1.0
CSNK2A2	1.0
CSPG4	1.0
CSTB	1.0
CTNNB1	1.0
CTSV	1.0
DKK1	1.0
DKK3	1.0
DLST	1.0
E2F1	1.0
E2F4	-1.0
ECM1	1.0
EEF1B2	-1.0
EEF1D	-1.0
EGFR	-1.0
EGR1	1.0
EGR2	1.0
EPAS1	1.0
ETS2	-1.0
FLI1	1.0
FOSL2	1.0
FOXK2	-1.0
FOXL2	1.0
FOXO3	-1.0
FOXO4	-1.0
GATA2	-1.0
GDF5	-1.0
GDF6	1.0
GLI1	-1.0
GOLM1	1.0
GREM1	1.0
HDAC6	1.0
HIC1	-1.0
HIF1A	-1.0
HSPG2	-1.0
HTRA1	1.0
IGFBP3	1.0
IGFBP7	1.0
IL11	1.0
INHBA	1.0
IRF2	1.0
JAK2	1.0
JUN	1.0
KDM5C	-1.0
KLC1	1.0
KLF4	-1.0
KLF5	-1.0
KLF9	1.0
KMT2A	1.0
LFNG	1.0
LGALS1	-1.0
LTBP4	1.0
MACROH2A1	1.0
MAP2K1	1.0
MAPK1	-1.0
MAPKAPK2	1.0
MBD2	-1.0
MMP11	1.0
MMP14	1.0
MMP2	1.0
MNT	1.0
MYC	1.0
NAP1L4	-1.0
NKX3-1	1.0
NOG	-1.0
NOTCH1	1.0
NR2F2	-1.0
NR4A1	1.0
NRP2	1.0
NUCB1	1.0
PAX6	1.0
PDIA5	1.0
PFDN4	-1.0
PHB2	1.0
PIN1	1.0
PITX1	-1.0
PLK3	-1.0
PNP	1.0
POSTN	1.0
PPM1G	-1.0
PPP2CB	-1.0
PRDX3	-1.0
PRDX5	-1.0
PRKACA	-1.0
PRKCZ	-1.0
PRKD1	1.0
PRKG1	1.0
PRKG2	1.0
PRNP	1.0
PSMB2	1.0
PTX3	-1.0
RAF1	-1.0
RARA	1.0
RBBP4	-1.0
RBBP7	-1.0
RCN1	1.0
RELA	1.0
ROCK1	-1.0
ROCK2	-1.0
RPS15A	-1.0
RPS6KA1	1.0
RPS6KA3	1.0
RPS6KB1	1.0
SERPINE1	1.0
SERPINE2	1.0
SET	-1.0
SFRP2	1.0
SLC39A10	1.0
SMAD1	1.0
SMAD3	1.0
SMAD4	1.0
SMAD5	1.0
SMARCA1	1.0
SNCA	-1.0
SP1	-1.0
SPARC	1.0
SREBF1	-1.0
SRF	1.0
STAT1	-1.0
STAT2	1.0
STAT3	1.0
STAT4	-1.0
STAT5B	-1.0
TAGLN2	-1.0
TEAD4	1.0
TFAP2A	-1.0
TGFB1	1.0
TGFBI	1.0
THAP1	1.0
TOR1A	1.0
TP53	-1.0
TUBA4A	-1.0
UHMK1	-1.0
UROD	1.0
VDAC1	1.0
ZBTB4	-1.0
ZBTB7A	-1.0
