source	sign	target	edge_value
ARAF	1	CDK16	-1.0
ATAD2	1	MYC	1.0
ATF3	1	PRKACA	1.0
BHLHE40	1	PER1	-1.0
BMAL1	1	BHLHE41	-1.0
BRCA1	-1	CTSD	1.0
CEBPB	1	AFP	1.0
CHFR	-1	PLK1	1.0
CHUK	1	STAT1	-1.0
CREB1	1	FZD6	-1.0
CREB1	1	RNF144B	1.0
CREB1	1	TGFB3	1.0
CREB1	1	YAP1	1.0
CTNNB1	-1	CDKN1B	1.0
CTNNB1	-1	FZD1	1.0
CTNNB1	1	PKD1	1.0
CXXC1	1	BAK1	1.0
E2F4	1	FOXM1	-1.0
E2F4	-1	POLA1	1.0
EGR1	1	ACVR1	1.0
EGR1	1	CTSL	1.0
EIF5	1	UBA52	1.0
ELK1	1	ZC3H12A	-1.0
EZH2	1	AR	1.0
FGF2	1	BMP2	1.0
FOS	1	MAF	1.0
FOXO3	-1	VASP	-1.0
GFI1	1	TP53	-1.0
GLI1	1	NPM1	-1.0
GRB2	1	ELK1	-1.0
GREM2	-1	GDF6	-1.0
GRHL3	1	HEY1	1.0
HNF1B	1	AFP	1.0
JUN	1	EIF4E	-1.0
JUN	1	SMAD4	1.0
JUN	1	TNFAIP1	1.0
JUN	1	TSLP	-1.0
JUND	1	PRDM1	-1.0
KDM5B	1	FOXA1	-1.0
LAMA3	1	ITGA11	1.0
MAP3K7	-1	IL18	-1.0
MAPK14	-1	RB1	-1.0
MAPK3	1	E2F1	1.0
MBD2	1	CDKN1B	1.0
MYC	1	ATP6V1G2	1.0
MYC	-1	SNX9	1.0
MYC	1	STAT6	1.0
MYC	1	TXNRD1	-1.0
NCOR1	-1	RBPJ	1.0
NEK6	1	PSMD2	-1.0
NFIC	1	NR3C1	1.0
NFKB1	1	DLST	1.0
NFKB1	1	HIF1A	1.0
NFKB1	1	HSP90AB1	-1.0
NFKB2	1	CSNK2A1	-1.0
NFKB2	1	RELB	-1.0
NLGN2	1	DLG4	-1.0
NR1H3	1	HK1	1.0
NR3C2	1	SERPINE1	-1.0
PAK4	1	RAN	1.0
PDGFA	1	SPHK2	-1.0
PDGFD	1	NCK1	1.0
PIKFYVE	1	WASL	1.0
PITX2	1	RGS2	1.0
PKNOX1	1	PAX6	1.0
POMP	1	UBE2C	-1.0
PRKACA	1	HSF1	1.0
PRKG1	1	RPS6KA2	1.0
PSMD9	1	CDC23	-1.0
PTPRH	-1	EGFR	-1.0
RAPGEF4	1	RAP1A	-1.0
RARB	-1	HOXA5	1.0
RB1	-1	FGFR1	1.0
REL	1	TNFRSF13C	-1.0
RELA	1	FST	-1.0
RELA	1	PPM1D	1.0
RUNX1	1	FHL2	1.0
SCX	1	SPP1	1.0
SEM1	1	CDC16	-1.0
SH2B2	1	CBL	1.0
SKP2	-1	DAB2IP	1.0
SMAD1	1	LRP5	1.0
SMAD2	-1	CCND1	-1.0
SMAD3	1	CDKN1A	-1.0
SMAD3	1	COL6A1	1.0
SMAD3	-1	MEF2C	1.0
SMARCA1	1	ISYNA1	1.0
SOD1	1	TP53	1.0
SP1	1	DMPK	-1.0
SP1	1	MUC1	1.0
SP3	1	CD2AP	1.0
SRC	1	CAPN2	1.0
SREBF1	-1	BCL2L1	1.0
SREBF1	1	GNAI2	1.0
STAT3	-1	CCN2	1.0
STAT3	1	TPX2	1.0
STK4	1	STK16	-1.0
TET1	1	HOXA9	1.0
TFAP2A	1	TALDO1	1.0
TGFB1	1	APP	-1.0
TGFBR1	1	SMAD2	1.0
THBS1	1	RHOA	-1.0
TLE5	1	RND3	1.0
TP53	1	LMO4	1.0
TP53	-1	TP53BP1	-1.0
UBA1	1	PLAU	1.0
UBR1	1	ANAPC1	-1.0
UCN	1	MAPK3	1.0
VCPIP1	1	VCP	-1.0
WNT5A	1	GNB1	-1.0
YY1	-1	CDKN1A	-1.0
