source	sign	target	edge_value
AR	1	HOXC8	-1.0
ATAD2	1	MYC	1.0
ATF3	1	PRKACA	1.0
BHLHE40	1	PER1	-1.0
BMAL1	1	BHLHE41	-1.0
CBLB	-1	MET	-1.0
CEBPB	1	AFP	1.0
CHFR	-1	PLK1	1.0
CREB1	1	CDK11A	1.0
CREB1	1	RNF144B	1.0
CREB1	1	YAP1	1.0
CREBZF	-1	SREBF1	1.0
CTNNB1	-1	CDKN1B	1.0
CTNNB1	-1	FZD1	1.0
CTNNB1	1	PKD1	1.0
CXXC1	1	BAK1	1.0
CYTH2	1	RHOA	-1.0
E2F1	1	SIAH1	1.0
E2F4	1	FOXM1	-1.0
E2F4	1	METTL3	-1.0
E2F4	-1	POLA1	1.0
EIF5	1	UBA52	1.0
ELF1	1	CSF1R	1.0
ELK1	1	ZC3H12A	-1.0
EPHB2	-1	PTK2	1.0
ERBB4	-1	ZNF652	-1.0
ETS1	1	EMSY	-1.0
EZH2	1	AR	1.0
FGF2	1	BMP2	1.0
FOS	1	FAS	1.0
FOSL2	1	CLU	1.0
FOXO3	1	HOXA5	1.0
FOXO3	1	PNRC1	-1.0
GATA2	-1	PNPLA8	1.0
GLI2	1	CCND2	1.0
GRB2	1	ELK1	-1.0
GREM2	-1	GDF6	-1.0
GRHL3	1	HEY1	1.0
HNF1B	1	AFP	1.0
IRF1	1	CASP1	-1.0
IRF1	1	TG	-1.0
JUN	1	ADM	-1.0
JUN	1	TSLP	-1.0
JUND	1	CTSB	1.0
KDM5B	1	FOXA1	-1.0
KLF8	1	BCL2	-1.0
KRIT1	-1	RAP1A	1.0
LAMA3	1	ITGA11	1.0
MAPK3	1	E2F1	1.0
MBD2	1	CDKN1B	1.0
MNT	1	MAX	-1.0
MYC	1	ATP6V1G2	1.0
MYC	1	HINT1	1.0
MYC	1	MET	1.0
MYC	-1	SNX9	1.0
MYC	1	STAT6	1.0
MYC	1	TXNRD1	-1.0
NEK6	1	PSMD2	-1.0
NFKB1	1	IRF7	1.0
NLGN2	1	DLG4	-1.0
NOTCH1	-1	CSF1	1.0
NR3C2	1	SERPINE1	-1.0
PDGFD	1	NCK1	1.0
PIKFYVE	1	WASL	1.0
PITX2	1	RGS2	1.0
PJA2	-1	PRKAR2B	-1.0
PKNOX1	1	PAX6	1.0
PSMC1	1	CDC27	1.0
RARB	-1	HOXA5	1.0
RELA	1	FST	-1.0
RELB	1	MMP2	-1.0
REST	-1	L1CAM	-1.0
SMAD2	-1	CCND1	-1.0
SMAD2	1	PTK2	1.0
SMAD3	-1	CDH1	-1.0
SMAD3	1	CDKN1A	-1.0
SMAD3	1	COL6A1	1.0
SMAD3	-1	MEF2C	1.0
SMARCA1	1	ISYNA1	1.0
SMARCB1	1	GTF3A	1.0
SMURF1	-1	RUNX2	1.0
SNAI1	-1	PXDN	-1.0
SOD1	1	TP53	1.0
SP1	1	GHR	-1.0
SP1	1	MUC1	1.0
SP3	1	CD2AP	1.0
SP3	1	CSNK2A2	1.0
SRC	1	CAPN2	1.0
SREBF1	-1	BCL2L1	1.0
SREBF1	1	GNAI2	1.0
STAT1	1	TP53BP1	-1.0
STAT2	1	PTGS2	-1.0
STAT3	-1	CCN2	1.0
STAT3	-1	HMGB1	1.0
STAT3	1	TPX2	1.0
TET1	1	HOXA9	1.0
TGFB1	1	APP	-1.0
THBS1	1	RHOA	-1.0
TLE5	1	RND3	1.0
TP53	-1	TP53BP1	-1.0
TWIST1	1	FGFR2	-1.0
VCPIP1	1	VCP	-1.0
WNT5A	1	GNB1	-1.0
YES1	1	EGFR	1.0
YY1	-1	CDKN1A	-1.0
ZBTB17	1	ODC1	-1.0
