source	sign	target	edge_value
ATAD2	1	MYC	1.0
ATF3	1	PRKACA	1.0
BHLHE40	1	PER1	-1.0
BMAL1	1	BHLHE41	-1.0
BRCA1	-1	CXCL1	1.0
CABIN1	-1	HDAC5	-1.0
CD40	1	MAP2K4	1.0
CDK1	1	PRKACB	-1.0
CEBPB	1	AFP	1.0
CHFR	-1	PLK1	1.0
CREB1	1	RNF144B	1.0
CREB1	1	YAP1	1.0
CREBZF	-1	SREBF1	1.0
CSNK2A1	1	CDH1	1.0
CTNNA3	1	CDH1	-1.0
CTNNB1	-1	CDKN1B	1.0
CTNNB1	-1	FZD1	1.0
CTNNB1	1	PKD1	1.0
CXXC1	1	BAK1	1.0
DDIT3	1	MCL1	-1.0
DEK	1	BCL2	-1.0
E2F4	1	FOXM1	-1.0
E2F4	1	METTL3	-1.0
E2F4	-1	POLA1	1.0
EGR1	1	ACVR1	1.0
EGR1	-1	BIRC5	-1.0
EIF5	1	UBA52	1.0
ELK1	1	ZC3H12A	-1.0
EPHB2	-1	PTK2	1.0
EZH2	1	AR	1.0
FGF2	1	BMP2	1.0
FOSL1	1	DMTF1	-1.0
FOSL2	1	CLU	1.0
FOXO1	1	KLF4	1.0
FOXO3	1	PNRC1	-1.0
GLI1	1	NPM1	-1.0
GRB2	1	ELK1	-1.0
GREM2	-1	GDF6	-1.0
GRHL3	1	HEY1	1.0
HDAC3	-1	MAFK	-1.0
HNF1B	1	AFP	1.0
IRF1	1	TG	-1.0
JUN	1	EIF4E	-1.0
JUN	1	TNFAIP1	1.0
JUN	1	TSLP	-1.0
KAT2A	1	RBPJ	-1.0
KDM5B	1	FOXA1	-1.0
KLF8	1	BCL2	-1.0
LAMA3	1	ITGA11	1.0
LATS1	1	CDC26	-1.0
MAP3K1	1	MAPK8	1.0
MAP3K5	1	MYC	1.0
MAPK3	1	E2F1	1.0
MBD2	1	CDKN1B	1.0
MTOR	1	EIF3J	1.0
MYC	1	ATF7	1.0
MYC	1	ATP6V1G2	1.0
MYC	1	HINT1	1.0
MYC	-1	SNX9	1.0
MYC	1	STAT6	1.0
MYC	1	TXNRD1	-1.0
NEK6	1	RPS6KB1	1.0
NFIC	1	NR3C1	1.0
NFKB1	1	IRF7	1.0
NFKB1	1	PPM1D	1.0
NFKB2	1	HACD3	1.0
NKX3-1	1	GADD45A	1.0
NLGN2	1	DLG4	-1.0
NR2F2	1	DR1	-1.0
PCGF2	-1	ZEB1	1.0
PDGFD	1	NCK1	1.0
PIKFYVE	1	WASL	1.0
PITX2	1	RGS2	1.0
PSMC1	1	CDC27	1.0
PSMD14	1	CDC20	1.0
PTPN6	-1	PKM	-1.0
RAP1GDS1	1	RAP1B	-1.0
RARB	-1	HOXA5	1.0
RB1	-1	FGFR1	1.0
REL	1	TGFBR2	-1.0
RELA	1	FST	-1.0
RELB	1	FSTL3	-1.0
RUNX1	1	FHL2	1.0
SMAD2	-1	CCND1	-1.0
SMAD3	1	CDKN1A	-1.0
SMAD3	1	COL6A1	1.0
SMAD3	-1	MEF2C	1.0
SMARCA1	1	ISYNA1	1.0
SMARCB1	1	GTF3A	1.0
SOD1	1	TP53	1.0
SP1	1	DMPK	-1.0
SP1	1	MUC1	1.0
SP3	1	CD2AP	1.0
SRC	1	CAPN2	1.0
SREBF1	1	GNAI2	1.0
SRF	1	CDKN1A	1.0
STAT1	1	TP53BP1	-1.0
STAT3	-1	HMGB1	1.0
STAT3	1	TPX2	1.0
TET1	1	HOXA9	1.0
TFAP2A	1	SLC9A1	1.0
THBS1	1	RHOA	-1.0
TLE5	1	RND3	1.0
TP53	-1	TP53BP1	-1.0
UBA1	1	PLAU	1.0
UBE2T	1	FANCI	1.0
VCPIP1	1	VCP	-1.0
WNT5A	1	GNB1	-1.0
YY1	-1	CDKN1A	-1.0
