node	value	type
ABL1	-1.0	intermediate
ACAT1	-1.0	output
ADAM19	1.0	output
AKT1	1.0	input
AKT3	1.0	input
ALOX12B	1.0	output
AMIGO2	1.0	output
ANP32A	-1.0	output
ANP32B	-1.0	output
APEX1	1.0	intermediate
AR	1.0	intermediate
ARF4	-1.0	output
ATF3	-1.0	input
ATF6	1.0	input
ATM	-1.0	intermediate
AURKB	-1.0	input
BGN	1.0	output
BHLHE40	1.0	input
BLMH	1.0	output
BRCA1	1.0	intermediate
C1QBP	-1.0	output
CCN2	1.0	output
CD63	1.0	output
CDC42	-1.0	output
CDK1	-1.0	intermediate
CDK2	-1.0	intermediate
CDK3	-1.0	input
CDKN1A	1.0	intermediate
CHEK1	-1.0	input
CPE	-1.0	output
CREB1	1.0	intermediate
CSNK2A1	1.0	input
CSNK2A2	1.0	input
CSPG4	1.0	output
CSTB	1.0	output
CTNNB1	1.0	intermediate
CTSV	1.0	output
DKK1	1.0	output
DKK3	1.0	output
DLST	1.0	output
E2F1	1.0	input
E2F4	-1.0	intermediate
ECM1	1.0	output
EEF1B2	-1.0	output
EEF1D	-1.0	output
EGFR	-1.0	intermediate
EGR1	1.0	input
EPAS1	1.0	input
ETS2	-1.0	input
FLI1	1.0	input
FOS	1.0	intermediate
FOSL2	1.0	input
FOXK2	-1.0	input
FOXL2	1.0	input
FOXO3	1.0	intermediate
FOXO4	-1.0	input
GDF5	-1.0	output
GDF6	1.0	output
GLI1	-1.0	input
GNAQ	-1.0	intermediate
GOLM1	1.0	output
GREM1	1.0	output
HDAC6	1.0	intermediate
HES1	-1.0	intermediate
HIC1	-1.0	input
HIF1A	-1.0	input
HSPG2	-1.0	output
HTRA1	1.0	output
IGFBP3	1.0	output
IGFBP7	1.0	output
IL11	1.0	output
INHBA	1.0	output
IRF2	1.0	intermediate
JAK2	1.0	intermediate
JUN	1.0	intermediate
KLC1	1.0	intermediate
KLF4	-1.0	input
KLF5	-1.0	intermediate
KLF9	1.0	input
KMT2A	1.0	input
LFNG	1.0	output
LGALS1	-1.0	output
LTBP4	1.0	output
MACROH2A1	1.0	output
MAP2K1	1.0	input
MAPK1	-1.0	intermediate
MAPKAPK2	1.0	input
MBD2	-1.0	intermediate
MMP11	1.0	output
MMP14	1.0	output
MMP2	1.0	output
MNT	1.0	input
MYC	1.0	intermediate
NAP1L4	-1.0	output
NFKB1	-1.0	intermediate
NFKB2	1.0	intermediate
NKX3-1	1.0	intermediate
NOG	-1.0	intermediate
NOTCH1	1.0	intermediate
NR2F2	-1.0	input
NR3C1	1.0	intermediate
NR4A1	1.0	input
NRF1	-1.0	intermediate
NRP2	1.0	output
NUCB1	1.0	output
PAX6	1.0	input
PDIA5	1.0	output
PFDN4	-1.0	output
PHB2	1.0	output
PIN1	1.0	output
PLK1	-1.0	intermediate
PLK3	-1.0	input
PNP	1.0	output
POSTN	1.0	output
PPM1G	-1.0	output
PPP2CB	-1.0	input
PPP2R1A	-1.0	intermediate
PRDX3	-1.0	output
PRDX5	-1.0	output
PRKCZ	-1.0	input
PRKD1	1.0	input
PRKG1	1.0	input
PRKG2	1.0	input
PRNP	1.0	output
PSMB2	1.0	output
PTX3	-1.0	output
RAF1	-1.0	input
RARA	1.0	input
RB1	1.0	intermediate
RBBP4	-1.0	output
RBBP7	-1.0	output
RCN1	1.0	output
RELA	1.0	intermediate
ROCK1	-1.0	input
ROCK2	-1.0	input
RPS15A	-1.0	output
RPS6KA1	1.0	input
RPS6KA3	1.0	input
RPS6KB1	1.0	input
SERPINE1	1.0	output
SERPINE2	1.0	output
SET	-1.0	output
SFRP2	1.0	output
SIRT1	-1.0	intermediate
SLC39A10	1.0	output
SMAD1	1.0	input
SMAD3	1.0	intermediate
SMAD4	1.0	input
SMAD5	1.0	input
SMARCA1	1.0	output
SNAI1	-1.0	intermediate
SNCA	-1.0	intermediate
SP1	-1.0	intermediate
SPARC	1.0	output
SREBF1	-1.0	intermediate
SRF	1.0	input
STAT1	1.0	intermediate
STAT2	1.0	input
STAT3	1.0	intermediate
STAT4	-1.0	input
TAGLN2	-1.0	output
TEAD4	1.0	input
TFAP2A	-1.0	input
TGFB1	1.0	input
TGFBI	1.0	output
THAP1	1.0	input
TOR1A	1.0	output
TP53	-1.0	input
TUBA4A	-1.0	output
UHMK1	-1.0	input
UROD	1.0	output
VDAC1	1.0	output
YAP1	1.0	intermediate
ZBTB4	-1.0	intermediate
ZBTB7A	-1.0	input
