source	sign	target	edge_value
AR	1	PIAS1	-1.0
ARAF	1	CDK16	-1.0
ATAD2	1	MYC	1.0
ATF3	-1	ADIPOR2	-1.0
ATF3	-1	CCNA2	1.0
ATF3	1	PRKACA	1.0
ATF4	1	RPS6KA3	-1.0
AURKA	-1	STMN1	1.0
AURKB	1	RB1	1.0
BHLHE40	1	PER1	-1.0
BID	1	BAX	1.0
BMAL1	1	BHLHE41	-1.0
CALCRL	1	GNAS	1.0
CDK2	-1	CDKN1A	-1.0
CEBPB	1	AFP	1.0
CHFR	-1	PLK1	1.0
CREB1	1	RNF144B	1.0
CREB1	1	S1PR4	1.0
CREB1	1	YAP1	1.0
CSNK1D	-1	HIF1A	-1.0
CSNK2B	1	NFKB1	1.0
CTCF	1	CCND1	1.0
CTNNB1	-1	FZD1	1.0
CTNNB1	1	PKD1	1.0
CTNNB1	1	PLAUR	-1.0
CUX1	1	JUN	1.0
CXXC1	1	BAK1	1.0
DDIT3	1	MCL1	-1.0
E2F1	1	TFDP1	1.0
E2F4	1	FOXM1	-1.0
E2F4	-1	POLA1	1.0
EGR1	-1	BIRC5	-1.0
EGR1	-1	IFNGR1	1.0
EIF5	1	UBA52	1.0
ELF1	1	CSF1R	1.0
ELK1	1	ZC3H12A	-1.0
EPAS1	1	SPHK1	-1.0
EZH2	1	AR	1.0
EZH2	1	WNT2	1.0
FGF2	1	BMP2	1.0
FOS	1	MAF	1.0
FOSL1	1	DMTF1	-1.0
FOXO3	-1	VASP	-1.0
FYN	1	GAB2	-1.0
GRB2	1	ELK1	-1.0
GREM2	-1	GDF6	-1.0
GRHL3	1	HEY1	1.0
IRF1	1	DOT1L	-1.0
JUN	1	TSLP	-1.0
JUNB	1	CAPNS1	1.0
KAT7	1	CREBBP	1.0
KDM5B	1	FOXA1	-1.0
KLF8	1	BCL2	-1.0
KRIT1	-1	RAP1A	1.0
LAMA3	1	ITGA11	1.0
LAMB2	1	PRNP	1.0
MAP3K1	1	MAPK8	1.0
MAPK14	-1	RB1	-1.0
MAPK3	1	E2F1	1.0
MBD2	1	CDKN1B	1.0
MECP2	1	CREB1	1.0
MYC	1	ATP6V1G2	1.0
MYC	1	H2AZ1	-1.0
MYC	1	MET	1.0
MYC	-1	SNX9	1.0
MYC	1	STAT6	1.0
MYC	1	TXNRD1	-1.0
NEK6	1	PSMD2	-1.0
NEK6	1	RPS6KB1	1.0
NFATC1	1	MAPK1	-1.0
NLGN2	1	DLG4	-1.0
NTRK3	1	RASA1	1.0
PCGF2	-1	ZEB1	1.0
PDGFD	1	NCK1	1.0
PIKFYVE	1	WASL	1.0
PITX2	1	RGS2	1.0
PPM1A	1	SMAD3	1.0
PSMC1	1	CDC27	1.0
PSMD9	1	CDC23	-1.0
PTEN	-1	ABI1	1.0
PTPN6	-1	PKM	-1.0
RARB	-1	HOXA5	1.0
RB1	-1	FGFR1	1.0
RBPJ	1	ERBB2	1.0
RELA	1	FST	-1.0
RELB	1	CTNNB1	1.0
RELB	1	PRKN	1.0
RXRA	1	IGF2	1.0
SCX	1	SPP1	1.0
SMAD2	-1	CCND1	-1.0
SMAD3	1	CDKN1A	-1.0
SMAD3	1	COL6A1	1.0
SMAD3	-1	MEF2C	1.0
SMARCA1	1	ISYNA1	1.0
SMARCB1	1	GTF3A	1.0
SMURF1	1	UBB	1.0
SNAI1	1	MAML1	1.0
SOD1	1	TP53	1.0
SP1	1	DMPK	-1.0
SP1	1	MUC1	1.0
SP3	1	CD2AP	1.0
SRC	1	CAPN2	1.0
SREBF1	1	GNAI2	1.0
STAT3	1	BIRC5	1.0
STAT3	1	TPX2	1.0
TCF7L1	1	PPARD	1.0
TET1	1	HOXA9	1.0
THBS1	1	RHOA	-1.0
TLE5	1	RND3	1.0
TP53	1	OGG1	-1.0
TP53	-1	TP53BP1	-1.0
TP53	-1	XPO1	-1.0
USF2	1	BRCA1	1.0
VCPIP1	1	VCP	-1.0
WAS	1	ACTR2	-1.0
YY1	-1	CDKN1A	-1.0
