source	sign	target	edge_value
NFKB1	1	PRKG1	1.0
NFKB2	-1	CCN2	1.0
NFKB2	1	CDC42	-1.0
NFKB2	1	PTX3	-1.0
NFKB2	1	RBBP4	-1.0
NFKB2	1	SP1	-1.0
NKX3-1	1	DKK3	1.0
NOG	-1	GDF6	1.0
NOTCH1	1	ADAM19	1.0
NOTCH1	1	LFNG	1.0
NOTCH1	1	PIN1	1.0
NR4A1	1	AKT1	1.0
NUMA1	1	TUBA4A	-1.0
OXSR1	1	EEF1D	-1.0
PAX6	1	DKK1	1.0
PAX6	1	MMP2	1.0
PLK1	-1	NUMA1	-1.0
PLK1	-1	SNCA	-1.0
PPARG	1	SERPINE2	1.0
PPARG	1	VDAC1	1.0
PPP2CB	-1	AKT1	1.0
PPP2CB	-1	AKT3	1.0000000000000002
PPP2CB	-1	MYC	1.0
PPP2CB	-1	RPS6KB1	1.0
PPP2CB	1	TP53	-1.0
PRDX3	1	OXSR1	-1.0
PRKCZ	-1	YAP1	1.0000000000000002
PRKD1	1	CREB1	1.0
PRKD1	1	CTNNB1	1.0
PRKD1	-1	SNAI1	-1.0
PRKD1	1	STAT3	1.0
PRKG2	-1	EGFR	-1.0
PTMA	-1	ANP32A	-1.0
RELA	1	AMIGO2	1.0
ROCK2	1	PRKCZ	-1.0
RPS6KA3	1	SRF	1.0
RPS6KB1	1	PHB2	1.0
SIRT1	1	GLI1	-1.0
SIRT1	-1	PAX6	1.0
SMAD3	1	GREM1	1.0
SMAD3	1	LTBP4	1.0
SNAI1	1	MBD2	-1.0
SNCA	-1	PSMB2	1.0
SP1	1	C1QBP	-1.0
SP1	1	ETS2	-1.0
SP1	1	GDF5	-1.0
SP1	1	KLF4	-1.0
SP1	1	PRKCZ	-1.0
SP1	1	STAT4	-1.0
SP1	1	TFAP2A	-1.0
SP1	1	TGFBR2	-1.0
SP1	1	ZBTB7A	-1.0
SREBF1	1	CPE	-1.0
SRF	1	MMP14	1.0
STAT1	1	ACAT1	-1.0
STAT1	1	HSPG2	-1.0
STAT3	1	JAK2	1.0
STAT3	1	PNP	1.0
TGFB1	1	AR	1.0
TGFB1	1	BGN	1.0
TGFB1	1	CDKN1A	1.0
TGFB1	1	ECM1	1.0
TGFB1	1	FLI1	1.0
TGFB1	1	IL11	1.0
TGFB1	1	MAPK1	1.0
TGFB1	1	SMAD5	1.0
TGFB1	1	SPARC	1.0
TGFB1	1	TGFBI	1.0
TGFBR2	1	PPP2CB	-1.0
TGFBR2	1	UHMK1	-1.0
TP53	1	ATF3	-1.0
TP53	1	E2F4	-1.0
TP53	1	HIC1	-1.0
TP53	1	KLF5	-1.0
TP53	1	PLK3	-1.0
TP53	1	PRDX3	-1.0
UBE2I	1	FOXL2	1.0
YAP1	1	SMAD1	1.0
YAP1	1	TEAD4	1.0
ZBTB4	1	RPS15A	-1.0
ZBTB7A	1	SREBF1	-1.0
