source	sign	target	edge_value
AKT1	-1	RAF1	-1.0
AKT3	-1	FOXO4	-0.9999999999999996
APEX1	1	HHEX	1.0
APEX1	1	MNT	1.0
AR	1	JUN	1.0
AR	1	PRKD1	1.0
AR	1	UBE2I	1.0
ATF3	1	NFKB2	-1.0
ATF3	1	PFDN4	-1.0
ATF3	1	RBBP7	-1.0
ATF3	1	STAT1	-1.0
ATF6	1	NUCB1	1.0
ATM	1	PPM1G	-1.0
AURKB	1	ATM	-1.0
BRCA1	1	MACROH2A1	1.0
CDK1	1	CHEK1	-1.0000000000000002
CDK1	1	FOXK2	-1.0
CDK1	1	HIF1A	-1.0
CDK1	-1	MAP2K1	1.0
CDK1	1	TP53	-1.0
CDK3	1	CHEK1	-1.0
CDK3	-1	E2F1	1.0
CDK3	-1	NOTCH1	1.0
CDKN1A	-1	CDK3	-1.0
CHEK1	1	AURKB	-1.0
CREB1	1	SERPINE1	1.0
CREB1	1	SLC39A10	1.0
CSNK2A1	1	IGFBP3	1.0
CSNK2A1	1	NFKB1	1.0
CSNK2A1	-1	SET	-1.0
CSNK2A1	-1	SP1	-1.0
CSNK2A1	1	SRF	1.0
CSNK2A2	1	CSNK2A1	1.0
CSNK2A2	1	NKX3-1	1.0
CSNK2A2	1	RELA	1.0
CTNNB1	1	HTRA1	1.0
CTNNB1	1	JUN	1.0
CTNNB1	1	RCN1	1.0
DNAJB6	1	PRNP	1.0
E2F1	1	CTSV	1.0
E2F4	1	NAP1L4	-1.0
EEF1D	1	EEF1B2	-1.0
EGFR	1	ARF4	-1.0
EGR1	1	CSPG4	1.0
EPAS1	1	BHLHE40	1.0
ETS2	1	NR2F2	-1.0
FLI1	-1	HOXA10	-1.0
GABPA	1	PRDX5	-1.0
GDF5	1	MAPK1	-1.0
GLI1	-1	SFRP2	1.0
HHEX	1	CSNK2A2	1.0
HIC1	1	SIRT1	-1.0
HIF1A	-1	NRP2	1.0
HOXA10	1	CDK1	-1.0
HOXA10	-1	KLF9	1.0
IRF2	1	BLMH	1.0
JAK2	1	ALOX12B	1.0
JUN	1	DLST	1.0
JUN	1	FOSL2	1.0000000000000002
JUN	1	IGFBP7	1.0
JUN	1	MMP11	1.0
JUN	1	POSTN	1.0
JUN	1	SMAD3	1.0
KLC1	1	TOR1A	1.0
KLF5	1	ANP32B	-1.0
KLF9	1	PPARG	1.0
MAPK1	1	CSNK2A1	1.0
MAPK1	1	E2F1	1.0
MAPK1	1	EGR1	1.0
MAPK1	1	EPAS1	1.0
MAPK1	1	GABPA	-1.0
MAPK1	-1	KLC1	1.0
MAPK1	1	MAPKAPK2	1.0
MAPK1	1	NR4A1	1.0
MAPK1	1	RARA	1.0
MAPK1	-1	ROCK1	-1.0
MAPK1	-1	ROCK2	-1.0
MAPK1	1	RPS6KA1	1.0000000000000002
MAPK1	1	RPS6KA3	1.0
MAPK1	1	RPS6KB1	1.0
MAPK1	1	SMAD4	1.0
MAPK1	1	STAT2	1.0
MAPK1	1	TAGLN2	-1.0
MAPKAPK2	1	PLK1	1.0
MBD2	1	NOG	-1.0
MYC	1	BRCA1	1.0
MYC	1	CD63	1.0
MYC	1	CSTB	1.0
MYC	1	DNAJB6	1.0
MYC	1	GOLM1	1.0
MYC	1	INHBA	1.0
MYC	1	IRF2	1.0
MYC	-1	LGALS1	-1.0
MYC	1	PDIA5	1.0
MYC	1	PTMA	1.0
MYC	1	SMARCA1	1.0
MYC	1	UROD	1.0
MYC	-1	ZBTB4	-1.0
NFKB1	1	APEX1	1.0
NFKB1	1	ATF6	1.0
NFKB1	1	KMT2A	1.0
