source	sign	target	edge_value
ABL1	1	SNCA	-1.0
AKT1	1	RPS6KB1	1.0
AKT3	-1	FOXO4	-1.0
APEX1	1	EPAS1	1.0
APEX1	1	MNT	1.0
AR	1	ATF6	1.0
AR	1	PRKD1	1.0
AR	1	STAT1	1.0
ATF3	-1	CDKN1A	1.0
ATF3	1	PFDN4	-1.0
ATF3	1	RBBP7	-1.0
ATF6	1	CREB1	1.0
ATF6	1	NUCB1	1.0
ATM	1	PPM1G	-1.0
AURKB	1	PLK1	-1.0
BRCA1	1	MACROH2A1	1.0
CDK1	1	EEF1D	-1.0
CDK2	1	CHEK1	-1.0
CDK2	1	FOXK2	-1.0
CDKN1A	-1	CDK3	-1.0
CHEK1	1	AURKB	-1.0
CREB1	1	SLC39A10	1.0
CSNK2A1	-1	SET	-1.0
CSNK2A1	-1	SP1	-1.0
CSNK2A2	1	CSNK2A1	1.0
CSNK2A2	1	NKX3-1	1.0
CTNNB1	1	CCN2	1.0
CTNNB1	-1	CDC42	-1.0
CTNNB1	1	ECM1	1.0
CTNNB1	1	HTRA1	1.0
CTNNB1	1	MMP14	1.0
CTNNB1	1	RCN1	1.0
E2F1	1	CTSV	1.0
E2F1	-1	TFAP2A	-1.0
E2F4	1	NAP1L4	-1.0
EEF1D	1	EEF1B2	-1.0
EGFR	1	ARF4	-1.0
EGR1	1	CSPG4	1.0
EGR1	1	CTNNB1	1.0
EGR1	1	FOS	1.0
EGR1	1	NR3C1	1.0
EGR1	1	NR4A1	1.0
EGR1	1	RPS6KA1	1.0
EGR1	-1	SREBF1	-1.0
EPAS1	1	AKT1	1.0
ETS2	1	CDK1	-1.0
ETS2	1	EGFR	-1.0
ETS2	1	NR2F2	-1.0
FLI1	1	RARA	1.0
FOS	1	E2F1	1.0
FOS	1	FOSL2	1.0
FOS	1	MAP2K1	1.0
FOXL2	1	INHBA	1.0
FOXO3	1	SERPINE2	1.0
FOXO4	1	SIRT1	-1.0
GLI1	-1	SFRP2	1.0
GNAQ	1	HSPG2	-1.0
HDAC6	-1	TUBA4A	-1.0
HES1	-1	PRNP	1.0
HIF1A	1	HES1	-1.0
HIF1A	-1	MYC	1.0
HIF1A	-1	NRP2	1.0
HIF1A	1	PRDX3	-1.0
HIF1A	1	SNAI1	-1.0
IRF2	1	BLMH	1.0
JAK2	1	ALOX12B	1.0
JAK2	1	RELA	1.0
JUN	1	IGFBP7	1.0
JUN	1	MMP11	1.0
JUN	-1	NFKB1	-1.0
JUN	1	POSTN	1.0
JUN	1	SMAD3	1.0
KLC1	1	TOR1A	1.0
KLF4	1	ATF3	-1.0
KLF4	1	TP53	-1.0
KLF5	1	ANP32B	-1.0
KLF9	1	DKK1	1.0
KMT2A	1	JUN	1.0
MAPK1	-1	KLC1	1.0
MAPK1	1	RBBP4	-1.0
MAPK1	1	TAGLN2	-1.0
MBD2	1	NOG	-1.0
MYC	1	CD63	1.0
MYC	1	CSTB	1.0
MYC	1	FOXO3	1.0
MYC	1	GOLM1	1.0
MYC	1	IRF2	1.0
MYC	1	PDIA5	1.0
MYC	1	SMARCA1	1.0
MYC	1	UROD	1.0
MYC	1	VDAC1	1.0
MYC	-1	ZBTB4	-1.0
NFKB1	1	ABL1	-1.0
NFKB1	1	PTX3	-1.0
NFKB2	1	KMT2A	1.0
NFKB2	1	PRKG1	1.0
NKX3-1	1	DKK3	1.0
NOG	-1	GDF6	1.0
NOTCH1	1	ADAM19	1.0
NOTCH1	1	LFNG	1.0
NR3C1	1	KLF9	1.0
NR3C1	1	RPS6KA3	1.0
NR4A1	1	AR	1.0
NRF1	1	PRDX5	-1.0
PAX6	1	NOTCH1	1.0
PLK1	1	RAF1	-1.0
PLK1	1	ROCK2	-1.0
PLK1	1	UHMK1	-1.0
PPP2CB	-1	AKT3	1.0
PPP2R1A	1	PPP2CB	-1.0
PRKCZ	-1	YAP1	1.0
PRKD1	1	STAT3	1.0
RARA	1	BHLHE40	1.0
RARA	1	IGFBP3	1.0
RB1	-1	ANP32A	-1.0
RB1	1	TGFBI	1.0
RELA	1	AMIGO2	1.0
RELA	1	BGN	1.0
RELA	1	DLST	1.0
RELA	1	SPARC	1.0
ROCK1	1	PRKCZ	-1.0
RPS6KB1	1	PHB2	1.0
SIRT1	1	GLI1	-1.0
SIRT1	-1	PAX6	1.0
SMAD1	1	MMP2	1.0
SMAD3	1	GREM1	1.0
SMAD3	1	LTBP4	1.0
SMAD3	1	PIN1	1.0
SNAI1	1	MAPK1	-1.0
SNAI1	1	MBD2	-1.0
SNCA	-1	PSMB2	1.0
SP1	1	ACAT1	-1.0
SP1	-1	APEX1	1.0
SP1	1	ATM	-1.0
SP1	1	C1QBP	-1.0
SP1	1	ETS2	-1.0
SP1	1	GDF5	-1.0
SP1	1	KLF4	-1.0
SP1	1	NRF1	-1.0
SP1	1	STAT4	-1.0
SREBF1	1	CPE	-1.0
SRF	1	EGR1	1.0
STAT1	1	CSNK2A2	1.0
STAT1	1	MAPKAPK2	1.0
STAT1	1	STAT2	1.0
STAT2	1	NFKB2	1.0
STAT2	1	SERPINE1	1.0
STAT3	1	IL11	1.0
STAT3	1	JAK2	1.0
STAT3	1	PNP	1.0
TFAP2A	1	HIF1A	-1.0
TFAP2A	1	PPP2R1A	-1.0
TGFB1	1	FLI1	1.0
TGFB1	1	HDAC6	1.0
TGFB1	1	SMAD1	1.0
TGFB1	1	SMAD4	1.0
TGFB1	1	SMAD5	1.0
TGFB1	1	SRF	1.0
TP53	-1	BRCA1	1.0
TP53	1	E2F4	-1.0
TP53	1	GNAQ	-1.0
TP53	1	HIC1	-1.0
TP53	1	KLF5	-1.0
TP53	1	LGALS1	-1.0
TP53	1	PLK3	-1.0
TP53	1	ROCK1	-1.0
TP53	1	ZBTB7A	-1.0
YAP1	1	TEAD4	1.0
ZBTB4	1	RPS15A	-1.0
ZBTB7A	1	CDK2	-1.0
ZBTB7A	-1	RB1	1.0
