source	sign	target	edge_value
AKT1	1	RPS6KB1	1.0
AKT3	-1	FOXO4	-1.0
APEX1	1	EPAS1	1.0
APEX1	1	MNT	1.0
AR	1	ATF6	1.0
AR	1	MAPKAPK2	1.0
AR	1	PRKD1	1.0
ATF1	1	CDK3	-1.0
CDK2	1	FOXK2	-1.0
CDK3	1	CHEK1	-1.0
CHEK1	1	AURKB	-1.0
E2F1	-1	TFAP2A	-1.0
EGR1	1	APEX1	1.0
EGR1	1	NR4A1	1.0
EPAS1	1	AKT1	1.0
ETS2	1	NR2F2	-1.0
FLI1	-1	HOXA10	-1.0
FLI1	1	RARA	1.0
FOXO4	1	SIRT1	-1.0
GLI1	1	TP53	-1.0
HOXA10	-1	KLF9	1.0
HOXA10	1	TGFBR2	-1.0
IRAK1	1	CSNK2A2	1.0
JUN	1	FOSL2	1.0
JUN	1	IRAK1	1.0
JUN	1	MAPK3	1.0
KLF4	1	ATF3	-1.0
MAPK14	1	ATF1	-1.0
MAPK14	1	ETS2	-1.0
MAPK14	1	STAT4	-1.0
MAPK3	-1	ROCK2	-1.0
MAPK3	1	RPS6KA1	1.0
MAPK3	1	RPS6KA3	1.0
NR4A1	1	AR	1.0
NR4A1	1	E2F1	1.0
PPP2CB	-1	AKT3	1.0
PRKCZ	-1	YAP1	1.0
RARA	1	BHLHE40	1.0
ROCK1	1	PRKCZ	-1.0
SIRT1	1	GLI1	-1.0
SIRT1	-1	PAX6	1.0
SMAD4	1	JUN	1.0
SRF	1	EGR1	1.0
TFAP2A	1	HIF1A	-1.0
TGFB1	1	FLI1	1.0
TGFB1	1	SMAD1	1.0
TGFB1	1	SMAD4	1.0
TGFB1	1	SMAD5	1.0
TGFB1	1	SRF	1.0
TGFBR2	1	PPP2CB	-1.0
TGFBR2	1	UHMK1	-1.0
TP53	1	HIC1	-1.0
TP53	1	KLF4	-1.0
TP53	1	MAPK14	-1.0
TP53	1	PLK3	-1.0
TP53	1	ROCK1	-1.0
TP53	1	ZBTB7A	-1.0
YAP1	1	TEAD4	1.0
ZBTB7A	1	CDK2	-1.0
