	Androgen	EGFR	Estrogen	Hypoxia	JAK-STAT	MAPK	NFkB	PI3K	TGFb	TNFa	Trail	VEGF	WNT	p53
0.08h	0.7343950864711832	0.011164171168854577	0.2652248802906751	-0.792086521755833	10.562629469313187	1.6682682153781445	5.532203339212003	2.7837454115465627	-2.575283717653934	4.262969716851259	-0.9274229211408431	3.058052316448649	-1.576647442656142	-4.8046101088777675
1h	2.5472257258756463	2.9169608999786365	-3.318189709069408	9.666589406439092	-2.392727174696104	0.2537690970286341	2.233601746612045	-0.007600657669306271	28.302670083698388	0.4960440449647617	0.6123862279658527	-0.036673363503638284	-0.7997884358872559	1.8490651012821435
12h	4.004642945083542	6.250152054546579	1.106295930542565	4.2572099569575	-3.977963954888606	6.664318733732611	1.627488862775322	15.069591617323123	44.2958419903691	2.3808588432245883	-0.513013877258228	7.197690684180148	-0.26363283331905785	2.3150766830552127
24h	2.592694402291981	10.955722071070431	2.485574417582771	1.3123039528857645	-5.98499451153082	11.063363996770235	0.9270927075307771	16.251613329304877	39.37275896425613	2.976018296243581	-1.6313402878673142	7.842642758223657	-1.254133882894519	1.0229458511658036
48h	2.1925108165402665	5.830319668805892	-1.2656794221042742	6.034045140670443	-15.121097257079567	3.781707016631675	-2.5007210970830474	8.921842143046643	41.57890180867533	0.2105740522821208	-1.256528247902706	5.075510126989605	-1.5354120929564807	13.546658169377432
72h	1.642727797341339	4.646914476238641	-1.864212206707623	6.8270239967254485	-14.401442232630568	3.2811326802486174	-2.439923833673498	8.687225964365359	41.09634194047789	-0.20307342439317133	-1.1877809295412978	4.9328143996622025	-2.2224821132703703	13.678808257347203
96h	1.4752096594824236	2.9839374146147364	-5.7773636790888006	6.966214532666328	-17.317041631092245	-1.7909368344061802	-2.779371845257323	1.6940156582988495	35.00495109627343	0.22935724306731287	-0.3332587211414032	3.924206449962987	-0.9679949711361467	23.61264705870519
