node	value	type
AKT1	1.0	output
AKT3	1.0	output
APEX1	1.0	intermediate
ATF3	-1.0	output
ATF6	1.0	output
AURKB	-1.0	output
BHLHE40	1.0	output
CDK2	-1.0	intermediate
CDK3	-1.0	output
CDKN1A	1.0	intermediate
CHEK1	-1.0	output
CSNK2A1	1.0	output
CSNK2A2	1.0	output
CTCF	1.0	intermediate
E2F1	1.0	output
EGR1	1.0	output
EPAS1	1.0	output
ETS2	-1.0	output
FLI1	1.0	output
FOS	1.0	intermediate
FOSL2	1.0	output
FOXK2	-1.0	output
FOXO4	-1.0	output
FYN	1.0	intermediate
GLI1	-1.0	output
HIC1	-1.0	output
HIF1A	-1.0	output
KLF4	-1.0	output
KLF9	1.0	output
KMT2A	1.0	output
MAP2K1	1.0	output
MAPK1	1.0	intermediate
MAPKAPK2	1.0	output
MNT	1.0	output
NFKB1	1.0	intermediate
NR2F2	-1.0	output
NR3C1	1.0	intermediate
NR4A1	1.0	output
PAX6	1.0	output
PLK3	-1.0	output
PPP2CB	-1.0	output
PRKCZ	-1.0	output
PRKD1	1.0	output
PRKG1	1.0	output
RAF1	-1.0	output
RARA	1.0	output
ROCK1	-1.0	output
ROCK2	-1.0	output
RPS6KA1	1.0	output
RPS6KA3	1.0	output
RPS6KB1	1.0	output
SIRT1	-1.0	intermediate
SMAD1	1.0	output
SMAD4	1.0	output
SMAD5	1.0	output
SP1	-1.0	intermediate
SRF	1.0	output
STAT2	1.0	output
STAT4	-1.0	output
TEAD4	1.0	output
TFAP2A	-1.0	output
TGFB1	1.0	input
TGFBR2	-1.0	intermediate
TP53	-1.0	output
UHMK1	-1.0	output
YAP1	1.0	intermediate
ZBTB7A	-1.0	output
