node	value	type
AKT1	1.0	output
AKT3	1.0	output
AR	1.0	intermediate
ATF3	-1.0	output
ATF6	1.0	output
AURKB	-1.0	output
BHLHE40	1.0	output
CDK2	-1.0	intermediate
CDK3	-0.9999999999999887	output
CDKN1A	1.0	intermediate
CHEK1	-1.0	output
CREB1	1.0	intermediate
CSNK2A1	1.0	output
CSNK2A2	1.0	output
E2F1	1.0	output
EGR1	1.0	output
EPAS1	1.0	output
ETS2	-1.0	output
FLI1	1.0	output
FOSL2	1.0	output
FOXK2	-1.0	output
FOXL2	1.0	output
FOXO4	-1.0	output
GLI1	-1.0	output
HIC1	-1.0	output
HIF1A	-1.0	output
JUN	1.0	intermediate
KLF4	-1.0	output
KLF9	1.0000000000000002	output
KMT2A	1.0	output
MAP2K1	0.9999999999999745	output
MAPK1	1.0	intermediate
MAPKAPK2	1.0	output
MNT	1.0	output
MYC	1.0	intermediate
NR2F2	-1.0	output
NR3C1	1.0	intermediate
NR4A1	1.0	output
PAX6	0.9999999999999999	output
PLK3	-1.0	output
PPP2CB	-1.0	output
PRKCZ	-1.0	output
PRKD1	0.9999999999999601	output
PRKG1	1.0	output
RAF1	-1.0	output
RARA	0.9999999999998752	output
ROCK1	-1.0	output
ROCK2	-1.0	output
RPS6KA1	1.0	output
RPS6KA3	0.9999999999999601	output
RPS6KB1	1.0	output
SIRT1	-1.0	intermediate
SMAD1	1.0	output
SMAD4	1.0	output
SMAD5	1.0	output
SP1	-1.0	intermediate
SRF	1.0	output
STAT1	1.0	intermediate
STAT2	1.0	output
STAT4	-1.0	output
TEAD4	1.0	output
TFAP2A	-1.0	output
TGFB1	1.0	input
TGFBR2	-1.0	intermediate
TP53	-1.0	output
UBE2I	1.0	intermediate
UHMK1	-1.0	output
YAP1	1.0	intermediate
ZBTB7A	-1.0	output
