	out_degree	in_degree	total_degree
MYC	14	2	16
TGFB1	15	0	15
JUN	8	2	10
PRKACA	7	1	8
SP1	6	2	8
MAPK1	6	1	7
TP53	5	1	6
CREB1	4	1	5
MAPK14	4	1	5
NFKB1	3	1	4
EGR1	2	2	4
SMAD3	3	1	4
E2F1	3	1	4
CDK5	3	1	4
CDK1	3	1	4
KLF9	2	1	3
NR4A1	1	2	3
RARA	1	2	3
GLI1	1	2	3
STAT2	2	1	3
SREBF1	2	1	3
PPARG	2	1	3
NOTCH1	2	1	3
PIAS2	2	1	3
JAK2	2	1	3
ETS2	2	1	3
EGF	2	1	3
CTNNB1	2	1	3
APEX1	2	1	3
CSNK2A1	2	1	3
ATF3	2	1	3
HIF1A	2	1	3
ATM	2	1	3
RELA	1	1	2
NR2F2	1	1	2
OXSR1	1	1	2
PAX6	1	1	2
PRDX3	1	1	2
PTMA	1	1	2
RBBP7	1	1	2
SRF	1	1	2
SERTAD1	1	1	2
SNCA	1	1	2
STAT3	1	1	2
TEAD4	1	1	2
WWTR1	1	1	2
ZBTB4	1	1	2
KMT2A	0	2	2
BHLHE40	0	2	2
STAT4	0	2	2
NKX3-1	1	1	2
NOG	1	1	2
TFAP2A	0	2	2
MMP14	1	1	2
EPAS1	1	1	2
MBD2	1	1	2
ATF6	1	1	2
BRCA1	1	1	2
CEBPD	1	1	2
DKK1	1	1	2
DNMT1	1	1	2
E2F4	1	1	2
ECM1	1	1	2
EEF1D	1	1	2
CCN2	1	1	2
FLI1	1	1	2
IGFBP3	1	1	2
GDF5	1	1	2
KLC1	1	1	2
IL11	1	1	2
IRF1	1	1	2
HDAC6	1	1	2
GREM1	1	1	2
GNAQ	1	1	2
LHX4	1	1	2
PRDX5	0	1	1
ADAM19	0	1	1
PIN1	0	1	1
VDAC1	0	1	1
SERPINE2	0	1	1
SFRP2	0	1	1
LFNG	0	1	1
LGALS1	0	1	1
GDF6	0	1	1
DKK3	0	1	1
PTX3	0	1	1
CDC42	0	1	1
UROD	0	1	1
PDIA5	0	1	1
AMIGO2	0	1	1
ANP32A	0	1	1
SMAD4	0	1	1
SET	0	1	1
LTBP4	0	1	1
ZBTB7A	0	1	1
KLF4	0	1	1
HIC1	0	1	1
TGFBI	0	1	1
SPARC	0	1	1
SMAD5	0	1	1
FOXO4	0	1	1
SMAD1	0	1	1
BGN	0	1	1
PNP	0	1	1
SERPINE1	0	1	1
CPE	0	1	1
C1QBP	0	1	1
ACAT1	0	1	1
PSMB2	0	1	1
GOLM1	0	1	1
FOSL2	0	1	1
CSTB	0	1	1
CD63	0	1	1
NAP1L4	0	1	1
CTSV	0	1	1
RCN1	0	1	1
HTRA1	0	1	1
ANP32B	0	1	1
SMARCA1	0	1	1
SLC39A10	0	1	1
PRNP	0	1	1
PHB2	0	1	1
FOXK2	0	1	1
MACROH2A1	0	1	1
PPM1G	0	1	1
NUCB1	0	1	1
PFDN4	0	1	1
MNT	0	1	1
EEF1B2	0	1	1
ARF4	0	1	1
CSPG4	0	1	1
MMP11	0	1	1
MMP2	0	1	1
TAGLN2	0	1	1
RBBP4	0	1	1
FOXL2	0	1	1
TOR1A	0	1	1
POSTN	0	1	1
IGFBP7	0	1	1
INHBA	0	1	1
DLST	0	1	1
ALOX12B	0	1	1
BLMH	0	1	1
NRP2	0	1	1
TUBA4A	0	1	1
HSPG2	0	1	1
RPS15A	0	1	1
