node	degree
MYC	13
STAT3	6
NFKB1	6
CTNNB1	5
RELA	5
JUN	5
NOTCH1	5
ATF3	4
CSNK2A1	4
MAPK1	4
SMAD3	4
SP1	4
STAT1	3
ATM	3
NKX3-1	3
BRCA1	3
CDK1	3
CDK5	3
EGFR	3
SNAI1	3
TP53	3
PRKACA	2
ATF6	2
CREB1	2
EEF1D	2
CDK6	2
SNCA	2
E2F1	2
E2F4	2
FOXL2	2
GREM1	2
HDAC6	2
IRF2	2
JAK2	2
KLC1	2
STAT5A	2
MBD2	2
NOG	2
MMP14	2
ZBTB4	2
PPARG	2
SREBF1	2
TGFB1	2
PFDN4	1
RBBP7	1
NUCB1	1
PPM1G	1
MACROH2A1	1
PHB2	1
PRNP	1
SET	1
SLC39A10	1
ANP32B	1
CDC42	1
DKK1	1
ECM1	1
RCN1	1
CTSV	1
NAP1L4	1
EEF1B2	1
ARF4	1
EGR1	1
CSPG4	1
ETS2	1
FOSL2	1
IL11	1
INHBA	1
GDF5	1
TUBA4A	1
HIF1A	1
NRP2	1
BLMH	1
ALOX12B	1
IGFBP7	1
MMP11	1
POSTN	1
TGFBI	1
TOR1A	1
TAGLN2	1
MMP2	1
CD63	1
CSTB	1
GOLM1	1
PDIA5	1
SERPINE1	1
SMARCA1	1
UROD	1
VDAC1	1
LGALS1	1
PTX3	1
RBBP4	1
DKK3	1
IGFBP3	1
GDF6	1
ADAM19	1
LFNG	1
PIN1	1
PAX6	1
SFRP2	1
SERPINE2	1
PRDX5	1
AMIGO2	1
BGN	1
DLST	1
HTRA1	1
SMAD1	1
CCN2	1
LTBP4	1
PSMB2	1
ACAT1	1
C1QBP	1
CPE	1
SRF	1
HSPG2	1
PNP	1
ANP32A	1
SPARC	1
PRDX3	1
RPS15A	1
