node	value	type
APEX1	1.0	intermediate
ATF3	-1.0	output
ATF6	1.0	output
BHLHE40	1.0	output
CDK1	-1.0	intermediate
CEBPD	1.0	intermediate
E2F1	1.0	output
EGR1	1.0	output
EPAS1	1.0	output
ETS2	-1.0	output
FLI1	1.0	output
FOSL2	1.0	output
FOXK2	-1.0	output
FOXL2	1.0	output
FOXO4	-1.0	output
GLI1	-1.0	output
HIC1	-1.0	output
HIF1A	-1.0	output
JUN	1.0	intermediate
KLF4	-1.0	output
KLF9	1.0	output
KMT2A	1.0	output
LHX4	1.0	intermediate
MAPK14	1.0	intermediate
MNT	1.0	output
MYC	-1.0	intermediate
NR2F2	-1.0	output
NR4A1	1.0	output
PAX6	1.0	output
PIAS2	-1.0	intermediate
RARA	1.0	output
SMAD1	1.0	output
SMAD4	1.0	output
SMAD5	1.0	output
SP1	1.0	intermediate
SRF	1.0	output
STAT2	1.0	output
STAT4	-1.0	output
TEAD4	1.0	output
TFAP2A	-1.0	output
TGFB1	1.0	input
TP53	-1.0	output
WWTR1	1.0	intermediate
ZBTB7A	-1.0	output
