node	value	type
ACAT1	-1.0	output
ADAM19	1.0	output
ALOX12B	1.0	output
AMIGO2	1.0	output
ANP32A	-1.0	output
ANP32B	-1.0	output
APEX1	1.0	intermediate
ARF4	-1.0	output
ATF3	-1.0	input
ATF6	1.0	input
ATM	-1.0	intermediate
BGN	1.0	output
BHLHE40	1.0	input
BLMH	1.0	output
BRCA1	1.0	intermediate
C1QBP	-1.0	output
CCN2	1.0	output
CD63	1.0	output
CDC42	-0.9999999999999999	output
CDK1	-1.0	intermediate
CDK5	1.0	intermediate
CEBPD	1.0	intermediate
CPE	-1.0	output
CREB1	1.0	intermediate
CSNK2A1	-1.0	intermediate
CSPG4	1.0	output
CSTB	1.0	output
CTNNB1	1.0	intermediate
CTSV	1.0	output
DKK1	1.0	output
DKK3	1.0	output
DLST	1.0	output
DNMT1	1.0	intermediate
E2F1	1.0	input
E2F4	-1.0	intermediate
ECM1	1.0	output
EEF1B2	-1.0	output
EEF1D	-1.0	output
EGF	-1.0	intermediate
EGR1	1.0	input
EPAS1	1.0	input
ETS2	-1.0	input
FLI1	1.0	input
FOSL2	1.0	input
FOXK2	-1.0	input
FOXL2	1.0	input
FOXO4	-1.0	input
GDF5	-1.0	output
GDF6	1.0	output
GLI1	-1.0	input
GNAQ	-1.0	intermediate
GOLM1	1.0	output
GREM1	1.0	output
HDAC6	1.0	intermediate
HIC1	-1.0	input
HIF1A	-1.0	input
HSPG2	-1.0	output
HTRA1	1.0	output
IGFBP3	1.0	output
IGFBP7	1.0	output
IL11	1.0	output
INHBA	1.0	output
IRF1	1.0	intermediate
JAK2	1.0	intermediate
JUN	1.0	intermediate
KLC1	1.0	intermediate
KLF4	-1.0	input
KLF9	1.0	input
KMT2A	1.0	input
LFNG	1.0	output
LGALS1	-0.9999999999999999	output
LHX4	1.0	intermediate
LTBP4	1.0	output
MACROH2A1	1.0	output
MAPK1	-1.0	intermediate
MAPK14	1.0	intermediate
MBD2	-1.0	intermediate
MMP11	1.0	output
MMP14	1.0	output
MMP2	1.0	output
MNT	1.0	input
MYC	1.0	intermediate
NAP1L4	-1.0	output
NFKB1	-0.9999999999999999	intermediate
NKX3-1	1.0	intermediate
NOG	-1.0	intermediate
NOTCH1	1.0	intermediate
NR2F2	-1.0	input
NR4A1	1.0	input
NRP2	1.0	output
NUCB1	1.0	output
OXSR1	-1.0	intermediate
PAX6	1.0	input
PDIA5	1.0	output
PFDN4	-1.0	output
PHB2	1.0	output
PIAS2	-1.0	intermediate
PIN1	1.0	output
PNP	1.0	output
POSTN	1.0	output
PPARG	1.0	intermediate
PPM1G	-1.0	output
PRDX3	-1.0	output
PRDX5	-1.0	output
PRKACA	-1.0	intermediate
PRNP	1.0	output
PSMB2	1.0	output
PTMA	1.0	intermediate
PTX3	-0.9999999999999999	output
RARA	1.0	input
RBBP4	-1.0	output
RBBP7	-1.0	output
RCN1	1.0	output
RELA	1.0	intermediate
RPS15A	-1.0	output
SERPINE1	1.0	output
SERPINE2	1.0	output
SERTAD1	-1.0	intermediate
SET	-1.0	output
SFRP2	1.0	output
SLC39A10	1.0	output
SMAD1	1.0	input
SMAD3	1.0	intermediate
SMAD4	1.0	input
SMAD5	1.0	input
SMARCA1	1.0	output
SNCA	-1.0	intermediate
SP1	-1.0	intermediate
SPARC	1.0	output
SREBF1	-1.0	intermediate
SRF	1.0	input
STAT2	1.0	input
STAT3	1.0	intermediate
STAT4	-1.0	input
TAGLN2	-1.0	output
TEAD4	1.0	input
TFAP2A	-1.0	input
TGFB1	1.0	input
TGFBI	1.0	output
THAP1	1.0	input
TOR1A	1.0	output
TP53	-1.0	input
TUBA4A	-1.0	output
UROD	1.0	output
VDAC1	1.0	output
WWTR1	1.0	intermediate
ZBTB4	-1.0	intermediate
ZBTB7A	-1.0	input
