source	sign	target	edge_value
APEX1	1	EPAS1	1.0
APEX1	1	MNT	1.0
CDK1	1	FOXK2	-1.0
CDK1	1	HIF1A	-1.0
CDK1	-1	WWTR1	1.0
CEBPD	1	KLF9	1.0
EPAS1	1	BHLHE40	1.0
ETS2	1	NR2F2	-1.0
FLI1	1	RARA	1.0
GLI1	1	TP53	-1.0
JUN	1	APEX1	1.0
JUN	1	FOSL2	1.0
JUN	-1	MYC	-1.0
JUN	1	NR4A1	1.0
LHX4	1	FOXL2	1.0
MAPK14	1	ATF6	1.0
MAPK14	-1	GLI1	-1.0
MAPK14	1	JUN	1.0
MAPK14	1	SP1	1.0
MYC	1	ATF3	-1.0
MYC	1	CDK1	-1.0
MYC	-1	CEBPD	1.0
MYC	1	ETS2	-1.0
MYC	1	FOXO4	-1.0
MYC	1	PIAS2	-1.0
NR2F2	1	TFAP2A	-1.0
PIAS2	-1	STAT2	1.0
PIAS2	1	STAT4	-1.0
SP1	1	E2F1	1.0
SP1	1	KMT2A	1.0
SP1	1	LHX4	1.0
SP1	1	PAX6	1.0
SRF	1	EGR1	1.0
TGFB1	1	FLI1	1.0
TGFB1	1	MAPK14	1.0
TGFB1	1	SMAD1	1.0
TGFB1	1	SMAD4	1.0
TGFB1	1	SMAD5	1.0
TGFB1	1	SRF	1.0
TP53	1	HIC1	-1.0
TP53	1	KLF4	-1.0
TP53	1	ZBTB7A	-1.0
WWTR1	1	TEAD4	1.0
